patch	chromosome	start	end
MG4136_PATCH	4	143214657	143582942
MG4212_PATCH	5	15457667	15635395
MG4151_PATCH	7	3000001	3475222
MG3835_PATCH	18	11238883	11458280
MG153_PATCH	19	4013986	4260737
MG4214_PATCH	X	37804742	37986547
MG4209_PATCH	Y	45842743	46337667
MG4213_PATCH	Y	49216909	49556418
MG4211_PATCH	Y	66019703	66188541
MG132_PATCH	9	124268539	124441019
MG3829_PATCH	11	87994577	88325687
MG4180_PATCH	12	109373903	109689534
MG3833_PATCH	16	18225663	18492018
MG4222_MG3908_PATCH	17	54687402	55747384
